SCHEMA=sounio.cs6.plucker-cocycle-coordinates.v1
PARENT_COORDINATE_SET=CS6_C1_FULL_SOURCE_COVER_RETAINED_53
LEAF_COUNT=53
LEAF_ID	U_DEPTH	U_INDEX	S_DEPTH	S_INDEX	INPUT_SHA256
U00-0000000000_S00-0000000000	0	0	0	0	835b9776707d5d8c7b263b84632301dd3db5ccc635968cf18f4560a4de851df6
U08-0000000064_S08-0000000064	8	64	8	64	51024385260754ebcea722867ecf95e3b6aeaa19660c162aa54af5ddc49dbb7d
U08-0000000064_S08-0000000192	8	64	8	192	8402247afc91796acc0194ceb0de7514075bf461223adf96bbe0798332a9d6a7
U08-0000000192_S08-0000000064	8	192	8	64	9a543f3f06ee060f579ef47f808ebdbba9d237cd1cb6d692046057ff84856d7f
U08-0000000192_S08-0000000192	8	192	8	192	1da8d07d88864eee425c0fd28d9bd38b78fe17d3aa5bb9ad03bb4a38b48f95ed
U12-0000001024_S12-0000001024	12	1024	12	1024	3c1b1668641d08132620ab82b37ad1cc5e90b37d0de97f90a10f28f01fffd5e1
U12-0000001024_S12-0000003072	12	1024	12	3072	98fef771a9d5723f13fe9e38e4e80c59640721df3b5dac4af5f0889d784f380f
U12-0000001024_S16-0000016384	12	1024	16	16384	b6e21153739269ef598aa5e99bc40a0710f94c135d4c82701ef9ceb3dc1c32cc
U12-0000001024_S16-0000049152	12	1024	16	49152	e3c598a6368d4abcb0cb08e90f6c513c1e5e4668e963a4fa474cb3f8e1f4fbdf
U12-0000003072_S12-0000001024	12	3072	12	1024	c1a27a6b515e8c98373fbd34cd6122fb97351dc053e235eff6ceefa9f8f65412
U12-0000003072_S12-0000003072	12	3072	12	3072	c0b804a283bac1742c43cec4d07ca058e6371198fd39ba8585b208da70cdaeb8
U12-0000003072_S16-0000016384	12	3072	16	16384	490df889010a08974fcaa6b30e28d0b6931a2c89660cceb33e8e628af24e7d4b
U12-0000003072_S16-0000049152	12	3072	16	49152	e9237e572f3a9a6595d83421a950e2e19c2a4685ab310506f78de821b2a5d538
U13-0000001024_S14-0000002048	13	1024	14	2048	74c728b34c5ba03dab2841cdae56f6e6c0b6fe26bc26981d87a50307ef60ecbd
U13-0000001024_S14-0000006144	13	1024	14	6144	87fceb383f74c299a0af0397c4b8d38de97d9d50700dc6671a0dab1dab8e72f5
U13-0000001024_S14-0000010240	13	1024	14	10240	283624848af18ba5047322e86b4be033a1025806aab8782e2a751e46ebab8805
U13-0000001024_S14-0000014336	13	1024	14	14336	8d89b39f48c533aeacec395942c695be1d3979513f0dfde0ccbfdbd19d7097d8
U13-0000002048_S13-0000002048	13	2048	13	2048	9d6c09d1a25e2e0e67a78508f5f26498c57c3ea801a20029e069fa50a62b9df8
U13-0000002048_S13-0000006144	13	2048	13	6144	2b5e72c8339435df79bf2e47f24db305513075a81333026d91b7b7751c63de1a
U13-0000002048_S14-0000004096	13	2048	14	4096	c037cdd7d9334ecd11d25dc047342e9ceb584f39b1e6c8c8ee40f6328d50e944
U13-0000002048_S14-0000012288	13	2048	14	12288	fad639a658439e7c9bdad41b882726d6099585762db0c53b445f24ff85b8afcb
U13-0000003072_S14-0000002048	13	3072	14	2048	9bf34212f1edadbc9a8b99eefe83b9a19a0907cd18cb9bb0cec71fe5f6e1f4b1
U13-0000003072_S14-0000006144	13	3072	14	6144	be36f461978210164e0c350bdeab58afdd92d663b80cb852c6ac5f5d29ea6918
U13-0000003072_S14-0000010240	13	3072	14	10240	32c0a247b6cc66a98470bfae11bbe1a78284b430c382a142e0e56082bfd55717
U13-0000003072_S14-0000014336	13	3072	14	14336	75b00dabff185d6b8367cac9f3af8e6abca8738f5c8a0667d0df3b2a430c7bfb
U13-0000005120_S14-0000002048	13	5120	14	2048	ca11146f707a51519b4d9f9aeeb2ea11a60eb6e35ea981d3bd6b8a37cffc0361
U13-0000005120_S14-0000006144	13	5120	14	6144	bb79828ba7a9d6387529cd200d4d4abc9d1795b6c7ac32ed4444049cf0ff8093
U13-0000005120_S14-0000010240	13	5120	14	10240	47f301b316ec1c644114e87092015846e62922318133419b626defcf09b717f4
U13-0000005120_S14-0000014336	13	5120	14	14336	182164cba4ee82305a1dca988ce41639c12ac4ad6a583996a189d0ca4ec8a7c0
U13-0000006144_S13-0000002048	13	6144	13	2048	d6970d6df00fd7a6f1bd282329670b4823a491febbe39691a14fc8836cfcb4fa
U13-0000006144_S13-0000006144	13	6144	13	6144	2845ff5c1bf00fce3418b0157fe8b2ffeb0979950dcce20f538b137df99e2984
U13-0000006144_S14-0000004096	13	6144	14	4096	d7a65f060af11f1bbce574b1b0bd1a9f93b7921c53375a673761796775aee3e2
U13-0000006144_S14-0000012288	13	6144	14	12288	1dc680e8b9a59d04cf944fdac755e8e2fbef26e9d7dac6b134cb651a4cd5fa9c
U13-0000007168_S14-0000002048	13	7168	14	2048	94c07ecfa0d74945172ca703159070cb96d9367361303704126bb5d33fb35279
U13-0000007168_S14-0000006144	13	7168	14	6144	bbb8fc984822149534f350d99f01b5123cb75398e465bea42bb6740e3fbb5ba0
U13-0000007168_S14-0000010240	13	7168	14	10240	50e6dfd87ee5a310a2fb62649efdbc462de0b591a13adfd95676b101d7aafa9b
U13-0000007168_S14-0000014336	13	7168	14	14336	aebbcd2528d0b8f582b35945808e76b53a7c224aee6d0aadc36efbcbf663c191
U14-0000004096_S13-0000002048	14	4096	13	2048	a03964e7086bc27aa23d72305402377451dab3862b088dc54d9bbcb4a06d878b
U14-0000004096_S13-0000006144	14	4096	13	6144	86add67f584c62234a7d4d4e81f70863df3c965451f7cbfd06226fda8c642ae3
U14-0000004096_S14-0000004096	14	4096	14	4096	e236499e55afb3d12d34271944434e07d4882a67dc96213220e109c990a6aeb5
U14-0000004096_S14-0000012288	14	4096	14	12288	e685e88375d9f3761a36e2e715c718388c542462a61658720190697b751532de
U14-0000012288_S13-0000002048	14	12288	13	2048	63d24ab92fb93d9bca520260d0f4337bf6a0c1948f68dc589843adc805ddf450
U14-0000012288_S13-0000006144	14	12288	13	6144	9cb6031c5fed748c482fd45f21fc40ac135f92e79f57fd05cd495e88531df330
U14-0000012288_S14-0000004096	14	12288	14	4096	6bcc40d901b2539ab36580622c5a0cc5d101c8cde08d1ed355ef5ff913c348fa
U14-0000012288_S14-0000012288	14	12288	14	12288	84dc32a7f87fe5258559beae90c32f70e6235c903d2538964495fef075cf2692
U15-0000008192_S15-0000008192	15	8192	15	8192	cb0aa8736b584d9e59b9256a82edf4cffb4c5572dbe932af2dfda71f8344cb44
U15-0000008192_S15-0000024576	15	8192	15	24576	a92fb890ce63f2a8a76033ae11d472d5afb4260eaa2f75ab4c8563dbc189c39c
U15-0000024576_S15-0000008192	15	24576	15	8192	83fb2d04216945eaa28536abb8e16579e2985abc0b2042bc6f40db5631b08ea7
U15-0000024576_S15-0000024576	15	24576	15	24576	883de504d0c36c42321f9f47d651e44139f871a703cd4671b5d129605a679986
U16-0000016384_S12-0000001024	16	16384	12	1024	0371d8d86067aea24d1eddebf14d267bfe90445b396fade88fa238246d675e67
U16-0000016384_S12-0000003072	16	16384	12	3072	461b4ac0132c0d8fbeacbd7737728cf44b13680cf809c2ef58a1407670c9924a
U16-0000049152_S12-0000001024	16	49152	12	1024	97830a18ffe3f46614d7cd79dafbfc6588c312a753c2c66db1967df3e2618211
U16-0000049152_S12-0000003072	16	49152	12	3072	df9b1caf45714a44303bd2a7d62005deaf339928c780b1f35fba4a4204acdedb
