LEAF_ID	U_DEPTH	U_INDEX	S_DEPTH	S_INDEX	STATUS	METHOD	CERTIFICATE_PASS	SUBDIVISION_REQUIRED	INPUT_SHA256	LEAF_CHALLENGE	RECEIPT_SHA256	VERIFICATION_SHA256	PHYSICAL_SHA256	WORKER_RC	ELAPSED_MS
U00-0000000000_S00-0000000000	0	0	0	0	COMPUTATION_UNRESOLVED_INTERVAL_DOMAIN	NONE	false	true	835b9776707d5d8c7b263b84632301dd3db5ccc635968cf18f4560a4de851df6	7297c5baa7f84dbf4e9c8d1b22321298d12d524d1c457bfd0e30d3304f6d3590	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0000000000000000000000000000000000000000000000000000000000000000	0000000000000000000000000000000000000000000000000000000000000000	1	8800
U08-0000000064_S08-0000000064	8	64	8	64	SUBDIVISION_REQUIRED	NONE	false	true	51024385260754ebcea722867ecf95e3b6aeaa19660c162aa54af5ddc49dbb7d	74d71dc39a4d4374f4474c0dd72ebe8c101a9fd97cf581eb5e9107f0334c2d3e	31269ab8e6f48737f02cd717d180506aaf960b0fdb17824edf52d1c9230953c0	59705267552a9a02a23c819463a75085e5bf54c9f6fbefd28796ee6180067b2c	a60db945a29aa2cd488d397d31aa29f3d9e066fc6e80b42706794ace9c46b83a	0	38899
U08-0000000064_S08-0000000192	8	64	8	192	SUBDIVISION_REQUIRED	NONE	false	true	8402247afc91796acc0194ceb0de7514075bf461223adf96bbe0798332a9d6a7	3aac0e474e326e7b4a6dc7c6693589ef1ef235d169333a37a7e3e82174fb2482	cfbf51910f9ece742a60d5725c6218767c2dcdadc7dd31debb959069975e89a7	fb99c6151d97800b117d91cfd9c566cec1af1f33140abcb9ca4ff1c8142592a0	6ac62a9ff854cb972707ba3670969034eb8faa9a3725a177ff6fe9fd9097926a	0	35496
U08-0000000192_S08-0000000064	8	192	8	64	SUBDIVISION_REQUIRED	NONE	false	true	9a543f3f06ee060f579ef47f808ebdbba9d237cd1cb6d692046057ff84856d7f	f549ca883661e27890b22a0ba9b32a38d26a6083901f3cbc7ef608f53b1fcca8	b57df3683a4e75041c13a0fa311aa47585db3b8f3a6f57b02aa7d91b998dc356	044c297a0effb5e76e1c074da20415904f339c6dd9cc67cd16dbd3ea35e239ac	33c2e6a6a53525e204842ddc2474037009a26eba5d6b930d63e9e2de5956afbd	0	39295
U08-0000000192_S08-0000000192	8	192	8	192	SUBDIVISION_REQUIRED	NONE	false	true	1da8d07d88864eee425c0fd28d9bd38b78fe17d3aa5bb9ad03bb4a38b48f95ed	2a013d8f23c302ef60cbdd006c9763785822faafcbdaf0d3dc736d790bfc13e1	7bba007481bf1d445aa7a531083c9b5739232dd1a6e62fe870edf1ab250181f5	f7ab573800ba70b245a5a2186fa8dbf78e6ab5e518e4909aa4d2af82a0186050	e7a03564d6c508a38af04fa3f49bd38e155f86a82dff961d6eec66e1c3f7bb0d	0	37502
U12-0000001024_S12-0000001024	12	1024	12	1024	SUBDIVISION_REQUIRED	NONE	false	true	3c1b1668641d08132620ab82b37ad1cc5e90b37d0de97f90a10f28f01fffd5e1	1a179cea42fc24fa4d3e18f17d093d884af2faa3dcf0fad8de4711700d281dbb	4aec6b31c31d226355e1bc9cd8803e7c3cafce7ca6578bd7c71c86c8a78dbccc	97c4e4f737d526edd97318558bd36a328b1cb3f7acf3700f7659e05b13b0085b	f54523cb2cfbd221dd4ce84882ae45387d3b38f10701b5f532c0688c32a3155f	0	40798
U12-0000001024_S12-0000003072	12	1024	12	3072	SUBDIVISION_REQUIRED	NONE	false	true	98fef771a9d5723f13fe9e38e4e80c59640721df3b5dac4af5f0889d784f380f	3283d912a6ddef8796892139dc00090101d5f2e2edc6aa41c9d5a5bd6830841a	f1a68df729acc59ea8595782bdaff563aa08d4de77c21b1a92a08ee55517aaa3	ab6e294acf0661ca752042649c94d86f3396adf4771ee09baf01ef999277ee2e	5dbaee4cb51a6b552f1066fafb54c31ce7f5fdc9f43f571fcc61ceb811d2bdbd	0	39602
U12-0000001024_S16-0000016384	12	1024	16	16384	SUBDIVISION_REQUIRED	NONE	false	true	b6e21153739269ef598aa5e99bc40a0710f94c135d4c82701ef9ceb3dc1c32cc	210389907aee6e6445218c2efa94e36887ddcdbc9837d68a81a6f222f0ead03b	f76a845479630b3595c1ed7b6ee699541e5fecc8472b6a8880e413e14eef536f	98b3e53eaffd9fe10b936861fdb65297d8f04c7eccdbf40b65510c186172ff8b	cc4ccd429e513d4bf310f6b19b0d47cfd4c580101932f3aa4ff48313fb2d9c17	0	37998
U12-0000001024_S16-0000049152	12	1024	16	49152	SUBDIVISION_REQUIRED	NONE	false	true	e3c598a6368d4abcb0cb08e90f6c513c1e5e4668e963a4fa474cb3f8e1f4fbdf	45a5a5a28adb7884085c6c2ec5e0b4fc359c3d9b7f9ac9fbfe4b1ce2872cff2b	0d9188241a7699028bcf051be24360a1bdf781889bee0fb3157d7f5d9dd21578	caf2a3f225e8713b31442a97f454c43e050f7df4ea974866fea9bfbde9cbd1d4	c7036f2e81292f1e6689f2b4e9480dcea63c8aed311415ff2599022ac1623268	0	39699
U12-0000003072_S12-0000001024	12	3072	12	1024	SUBDIVISION_REQUIRED	NONE	false	true	c1a27a6b515e8c98373fbd34cd6122fb97351dc053e235eff6ceefa9f8f65412	cb181063447bc46ccba15a5a974160fe886dfd12caaeb30f0d7ca9692e54ef10	ce625d28af80842c24704bdc5093bf06483202981a92b65db5817d02c3eb0a7c	51ac92645f9bf996255d69f0922690be3514b9f36e39374cdf4afcd7969ca66c	4781c2f21a38da7d521dc6eb08ff4ce39271e5300889f9a6a8ee9a9303828760	0	36808
